d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
5,2.0,0.1,0.4117740261069415,1.002668793762246,5,-0.0019225634399108987,no_guarantee,,,,,1.1102230246251565e-16,
6,2.0,0.1,0.4117740261069415,1.1657987982347386,6,-0.09531682744225037,no_guarantee,,,,,1.1102230246251565e-16,
7,2.0,0.1,0.4117740261069415,1.3133276731197827,7,-0.15212093448156994,no_guarantee,,,,,1.942890293094024e-16,
8,2.0,0.1,0.4117740261069415,1.4487260449205175,8,-0.1904941914796514,no_guarantee,,,,,1.942890293094024e-16,
3,2.378414230005442,0.1,0.4316251326653872,0.6205358162446316,3,0.6884136122879301,finite,4.1842214263722415,4.092299476574249,12368,1.236800e+4,5.551115123125783e-17,0.0
4,2.378414230005442,0.1,0.4316251326653872,0.8361444501175115,4,0.16289085371371295,finite,3.637540167147043,15.837375539988441,,6.876628e+15,5.551115123125783e-17,0.0
5,2.378414230005442,0.1,0.4316251326653872,1.0208713025785539,5,-0.014900501259357784,no_guarantee,,,,,2.220446049250313e-16,
6,2.378414230005442,0.1,0.4316251326653872,1.184162472957785,6,-0.10502781717982328,no_guarantee,,,,,2.220446049250313e-16,
7,2.378414230005442,0.1,0.4316251326653872,1.3316033679459507,7,-0.15983381747462003,no_guarantee,,,,,2.220446049250313e-16,
8,2.378414230005442,0.1,0.4316251326653872,1.4667843644432976,8,-0.196860321483192,no_guarantee,,,,,2.220446049250313e-16,
3,2.8284271247461903,0.1,0.44795527966520177,0.6327440823253453,3,0.6603059851468994,finite,4.32479933410353,4.35896222304459,22854,2.285400e+4,5.551115123125783e-17,0.0
4,2.8284271247461903,0.1,0.44795527966520177,0.8494668449532625,4,0.148502223405036,finite,3.806374413791831,17.865640952265668,,7.339069e+17,5.551115123125783e-17,0.0
