d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
7,0.14865088937534013,0.1,0.05876721338561608,0.3418935631199723,7,0.5989954721813412,finite,2.0009828959060174,3.1205739312058496,1320,1.320000e+3,1.3877787807814457e-17,0.0
8,0.14865088937534013,0.1,0.05876721338561608,0.3969309337667135,8,0.4748384627312016,finite,1.9251964841149334,3.8668188029260477,7359,7.359000e+3,1.3877787807814457e-17,0.0
3,0.1767766952966369,0.1,0.06962918212936872,0.1372226413716628,3,2.8654095528833214,finite,5.170177488480261,1.1461280356782377,14,1.400000e+1,1.3877787807814457e-17,0.0
4,0.1767766952966369,0.1,0.06962918212936872,0.20437031708536585,4,1.4452975515701607,finite,2.9204966415292484,1.57978359661681,38,3.800000e+1,1.3877787807814457e-17,0.0
5,0.1767766952966369,0.1,0.06962918212936872,0.2705942683447909,5,0.9428984070143236,finite,2.34980119689719,2.143014800254095,139,1.390000e+2,1.3877787807814457e-17,0.0
6,0.1767766952966369,0.1,0.06962918212936872,0.3359301046479245,6,0.6777845570257923,finite,2.1158624623563673,2.831229693867063,678,6.780000e+2,1.3877787807814457e-17,0.0
7,0.1767766952966369,0.1,0.06962918212936872,0.400411041029515,7,0.5108183730245833,finite,1.9982158995334707,3.6565772913961134,4535,4.535000e+3,1.3877787807814457e-17,0.0
8,0.1767766952966369,0.1,0.06962918212936872,0.46406813599455005,8,0.39453203586681274,finite,1.9324420368296857,4.661850530901923,45904,4.590400e+4,1.3877787807814457e-17,0.0
3,0.21022410381342863,0.1,0.0823786018154725,0.16143740988728145,3,2.6309531618415454,finite,4.929003991987242,1.2041199826559246,16,1.600000e+1,1.3877787807814457e-17,0.0
4,0.21022410381342863,0.1,0.0823786018154725,0.23980539403893797,4,1.2997556621778508,finite,2.8412552235308546,1.724275869600789,53,5.300000e+1,1.3877787807814457e-17,0.0
5,0.21022410381342863,0.1,0.0823786018154725,0.31671797466967366,5,0.8293646740212415,finite,2.3184516579241015,2.4199557484897576,263,2.630000e+2,1.3877787807814457e-17,0.0
6,0.21022410381342863,0.1,0.0823786018154725,0.3922493534576971,6,0.5814809806775172,finite,2.1082542172972856,3.294466226161593,1970,1.970000e+3,1.3877787807814457e-17,0.0
7,0.21022410381342863,0.1,0.0823786018154725,0.46646727499868745,7,0.4255969756589652,finite,2.0055775226244763,4.396216788290972,24901,2.490100e+4,1.3877787807814457e-17,0.0
8,0.21022410381342863,0.1,0.0823786018154725,0.5394338401268682,8,0.31719611202761133,finite,1.950645108506096,5.823382926439247,665860,6.658600e+5,1.3877787807814457e-17,0.0
3,0.25,0.1,0.09726798481022203,0.18918136063063098,3,2.4021581428403094,finite,4.699900705668736,1.2787536009528289,19,1.900000e+1,2.7755575615628914e-17,0.0
4,0.25,0.1,0.09726798481022203,0.2800549680376418,4,1.1585246167261791,finite,2.7724759762552305,1.9030899869919433,80,8.000000e+1,2.7755575615628914e-17,0.0
5,0.25,0.1,0.09726798481022203,0.3686829458080465,5,0.7197737058771287,finite,2.2980500787630977,2.775974331129369,597,5.970000e+2,2.7755575615628914e-17,0.0
6,0.25,0.1,0.09726798481022203,0.4552139851390675,6,0.48898293466132575,finite,2.1124407407365093,3.921270185509812,8342,8.342000e+3,2.7755575615628914e-17,0.0
7,0.25,0.1,0.09726798481022203,0.5397803810164226,7,0.34412706312444946,finite,2.0256471622908907,5.4623066366920225,289939,2.899390e+5,2.7755575615628914e-17,0.0
8,0.25,0.1,0.09726798481022203,0.6225005909249037,8,0.24359331369790663,finite,1.982453016243106,7.63965307299943,43616727,4.361673e+7,2.7755575615628914e-17,0.0
3,0.29730177875068026,0.1,0.11453805173923022,0.22056126196354287,3,2.1807486678775794,finite,4.486442822351458,1.3617278360175928,23,2.300000e+1,1.3877787807814457e-17,0.0
4,0.29730177875068026,0.1,0.11453805173923022,0.3250780845629332,4,1.0228265939742127,finite,2.7169822370342747,2.1335389083702174,136,1.360000e+2,1.3877787807814457e-17,0.0
5,0.29730177875068026,0.1,0.11453805173923022,0.4262175010889152,5,0.6151691307334355,finite,2.2913139094221355,3.243286146083446,1751,1.751000e+3,1.3877787807814457e-17,0.0
6,0.29730177875068026,0.1,0.11453805173923022,0.5242640282706943,6,0.4012331546478185,finite,2.1311296145175627,4.799050923246179,62958,6.295800e+4,4.163336342344337e-17,0.0
7,0.29730177875068026,0.1,0.11453805173923022,0.6194633182699156,7,0.2672801789096246,finite,2.061132047680267,7.090455751271161,12315605,1.231560e+7,4.163336342344337e-17,0.0
8,0.29730177875068026,0.1,0.11453805173923022,0.7120294976250667,8,0.1745383461536103,finite,2.0305616090362886,10.781938430386223,60525506210,6.052551e+10,4.163336342344337e-17,0.0
3,0.3535533905932738,0.1,0.13438786375791045,0.25547554383781385,3,1.9687429034216335,finite,4.2927381108076705,1.462397997898956,29,2.900000e+1,2.7755575615628914e-17,0.0
4,0.3535533905932738,0.1,0.13438786375791045,0.3744860895231765,4,0.8940375335104369,finite,2.677843796289976,2.4199557484897576,263,2.630000e+2,2.7755575615628914e-17,0.0
5,0.3535533905932738,0.1,0.13438786375791045,0.4885683086228976,5,0.5166839049118876,finite,2.3010559284362273,3.8695837077134234,7406,7.406000e+3,2.7755575615628914e-17,0.0
6,0.3535533905932738,0.1,0.13438786375791045,0.5982387131281918,6,0.3192204029013222,finite,2.166997263682888,6.080798871942616,1204478,1.204478e+6,2.7755575615628914e-17,0.0
7,0.3535533905932738,0.1,0.13438786375791045,0.7039284362659954,7,0.19594068682311813,finite,2.1145916906128437,9.790490856307775,6172922952,6.172923e+9,2.7755575615628914e-17,0.0
8,0.3535533905932738,0.1,0.13438786375791045,0.8060022905225207,8,0.11083178467664212,finite,2.0974097066691004,17.241384928266253,,1.743351e+17,2.7755575615628914e-17,0.0
