h,log_rms_lower_bound,rms_lower_bound,level,tau,b,delta,eps,lam,A,B,truncation_power,absolute_error_lower_bound,tail_threshold
47,-10.147402514423316,3.9177713170282996e-05,5,20.326530612244902,0.11813295959634018,2.430862253909004,0.041265912909057706,0.783722598270927,2.351167794812781,0.125158587181341,2,4.611402729942237e-11,32.792635340555435
48,-10.21946086206141,3.645394546850663e-05,5,20.326530612244902,0.11813295959634018,2.4349771099185924,0.0402221488053619,0.7865190172370281,2.3595570517110844,0.1236420818468082,2,3.98388575520744e-11,32.8656880201507
49,-10.29219345802406,3.3896680862772516e-05,5,20.326530612244902,0.11813295959634018,2.43939689466248,0.03919736567373842,0.789266679845555,2.367800039536665,0.12213043731792984,2,3.4370877071877344e-11,32.93924007078365
50,-10.365645578100581,3.1496139408604714e-05,5,20.326530612244902,0.11813295959634018,2.4441193397200327,0.03819083127355019,0.7919673862148137,2.375902158644441,0.12062301160758175,2,2.961041130016195e-11,33.01333340873608
51,-10.413907071613213,3.0012185614817353e-05,6,20.326530612244902,0.11813295959634018,2.4442474832814107,0.07279760186290496,0.7005273937243099,2.1015821811729296,0.1627859163269472,2,2.6847603986304974e-11,33.06191497027692
52,-10.446338793934842,2.9054453146532474e-05,6,20.326530612244902,0.11813295959634018,2.4413152457700056,0.07203345994416295,0.702508535670731,2.1075256070121933,0.16201990769375463,2,2.5137404783396906e-11,33.09451691707066
53,-10.478603643402325,2.8131977385149393e-05,6,20.326530612244902,0.11813295959634018,2.438548209825563,0.07128257976400044,0.7044572393083556,2.113371717925067,0.16126147293899593,2,2.354416310327501e-11,33.12691547383604
54,-10.510709610685893,2.7243118232222542e-05,6,20.326530612244902,0.11813295959634018,2.4359389540810783,0.07054448226516366,0.706374630004489,2.119123890013467,0.16051035227372204,2,2.2059056438714173e-11,33.15911932210933
55,-10.54266433195615,2.638633403690936e-05,6,20.326530612244902,0.11813295959634018,2.4334805597159646,0.0698187172929159,0.7082617661872527,2.124785298561758,0.15976630166933836,2,2.0674009701460183e-11,33.19113674662848
56,-10.574475113028978,2.556017420288123e-05,6,20.326530612244902,0.11813295959634018,2.431166512411756,0.06910484427795589,0.7101196889231542,2.1303590667694627,0.15902907401201605,2,1.9381623646060785e-11,33.22297566218195
57,-10.606148951527702,2.476327246367295e-05,6,20.326530612244902,0.11813295959634018,2.428990811836725,0.06840247535662716,0.7119493090892438,2.1358479272677315,0.15829846455518087,2,1.817511102066266e-11,33.254643638244275
58,-10.637692557258694,2.3994340755918214e-05,6,20.326530612244902,0.11813295959634018,2.4269477437116618,0.06771121373959592,0.7137515672146705,2.1412547016440113,0.15757424815561666,2,1.7048239511749807e-11,33.28614792161744
59,-10.669112370974096,2.325216362841251e-05,6,20.326530612244902,0.11813295959634018,2.425031996246783,0.06703069789131987,0.7155273179705423,2.146581953911627,0.1568562257754472,2,1.5995280674619587e-11,33.317495457272074
60,-10.700414581676169,2.253559313228433e-05,6,20.326530612244902,0.11813295959634018,2.423238545088249,0.06636057072710122,0.7172774100014625,2.1518322300043877,0.1561441929979249,2,1.501096414787538e-11,33.34869290756097
61,-10.731605142600385,2.184354414393669e-05,6,20.326530612244902,0.11813295959634018,2.4215627292586115,0.0657005152743887,0.7190025923956374,2.1570077771869123,0.15543797852159602,2,1.4090436541324816e-11,33.37974666995797
62,-10.762689785999768,2.1174990077956083e-05,6,20.326530612244902,0.11813295959634018,2.4200001031205174,0.06505020649564017,0.7207036401191745,2.1621109203575237,0.15473739359745786,2,1.3229224464779967e-11,33.41066289345903
63,-10.79367403683958,2.0528958952022733e-05,6,20.326530612244902,0.11813295959634018,2.4185465092502674,0.06440934524130532,0.7223812649849529,2.1671437949548586,0.15404226871417268,2,1.242320123242213e-11,33.44144749376718
64,-10.824563225500471,1.990452977006373e-05,6,20.326530612244902,0.11813295959634018,2.4171980293957134,0.06377764616293562,0.7240361468853415,2.1721084406560243,0.1533524413320662,2,1.1668556835241677e-11,33.47210616737076
65,-10.85536249957763,1.9300829193594993e-05,6,20.326530612244902,0.11813295959634018,2.415950969723308,0.06315483791695217,0.7256689329546998,2.1770067988640993,0.15266775663465773,2,1.0961770824049331e-11,33.50264440461288
66,-10.886076834854682,1.871702847443395e-05,6,20.326530612244902,0.11813295959634018,2.4148018228965182,0.06254065026431238,0.727280271136875,2.181840813410625,0.15198805373436913,2,1.0299587788799096e-11,33.53306750183957
67,-10.916711045523558,1.8152340624807465e-05,6,20.326530612244902,0.11813295959634018,2.413747309658358,0.06193484226147378,0.7288707359916762,2.1866122079750285,0.1513131972337127,2,9.67899515746967e-12,33.56338057270632
68,-10.947269793713666,1.7606017803405604e-05,6,20.326530612244902,0.11813295959634018,2.4127843081173155,0.061337171710364874,0.730440908581791,2.191322725745373,0.15064304393844624,2,9.097203070371087e-12,33.59358855871356
69,-10.977757598388616,1.7077348898125193e-05,6,20.326530612244902,0.11813295959634018,2.411909871191539,0.06074740970221947,0.7319913381137695,2.1959740143413082,0.14997745928560285,2,8.551626114112745e-12,33.6236962390359
70,-11.00817884366233,1.656565728822219e-05,6,20.326530612244902,0.11813295959634018,2.4111212087179448,0.06016533619288117,0.7335225533502258,2.200567660050677,0.14931631279068802,2,8.039866724259678e-12,33.653708239703114
71,-11.038537786581836,1.607029877031989e-05,6,20.326530612244902,0.11813295959634018,2.4104156839684916,0.05959074470552349,0.7350350500444431,2.2051051501333294,0.14865948376592758,2,7.559700087351957e-12,33.683629042185316
72,-11.068838564419643,1.5590659634259027e-05,6,20.326530612244902,0.11813295959634018,2.409790788976132,0.05902342973027513,0.7365293239274759,2.209587971782428,0.14800684727303906,2,7.109060391926171e-12,33.71346299143041
73,-11.099085201514576,1.5126154876146788e-05,6,20.326530612244902,0.11813295959634018,2.409244152578302,0.05846319919088734,0.7380058377410624,2.214017513223187,0.14735828863492498,2,6.6860282948186785e-12,33.74321430339678
74,-11.129281615696407,1.4676226537179818e-05,6,20.326530612244902,0.11813295959634018,2.408773524337935,0.05790986788884831,0.7394650383376721,2.218395115013016,0.14671369626021777,2,6.288819483650025e-12,33.772887072120874
75,-11.159431624326679,1.424034215790023e-05,6,20.326530612244902,0.11813295959634018,2.408376768425328,0.05736325814041388,0.7409073548652548,2.2227220645957644,0.14607296263814962,2,5.915774229258094e-12,33.802485276355554
76,-11.189538949984948,1.3817993338519609e-05,6,20.326530612244902,0.11813295959634018,2.408051856523428,0.05682319907560228,0.7423332004861815,2.2269996014585445,0.14543598377692485,2,5.56534783319928e-12,33.83201278581178
77,-11.219607225827481,1.3408694396808552e-05,6,20.326530612244902,0.11813295959634018,2.407796862699314,0.05628952892105102,0.7437429662240886,2.231228898672266,0.1448026621623624,2,5.236101885452645e-12,33.86147336703376
78,-11.249640000642888,1.3011981115831882e-05,6,20.326530612244902,0.11813295959634018,2.407609952315544,0.05576208205784414,0.7451370550487108,2.2354111651461324,0.14417289158110452,2,4.926696256327368e-12,33.890870688934655
79,-11.279640743627061,1.2627409574507638e-05,6,20.326530612244902,0.11813295959634018,2.407489385183359,0.05524070268618025,0.74651584569537,2.2395475370861098,0.14354657343729202,2,4.635881754423716e-12,33.92020832801789
80,-11.309612848898395,1.2254555054589091e-05,6,20.326530612244902,0.11813295959634018,2.4074335086342997,0.054725255708336994,0.74787966373432,2.24363899120296,0.14292363029281369,2,4.362493389454545e-12,33.9494897733072
81,-11.339559639771934,1.1893011018242026e-05,6,20.326530612244902,0.11813295959634018,2.4074407459800815,0.0542155948437254,0.7492288658046227,2.247686597413868,0.14230396772828252,2,4.105444184926383e-12,33.978718431006214
82,-11.369484372809953,1.1542388150892632e-05,6,20.326530612244902,0.11813295959634018,2.407509598485688,0.05371158156155152,0.7505637894824099,2.2516913684472297,0.14168749715165302,2,3.863719491175289e-12,34.007897628907
83,-11.399390241664962,1.1202313464481484e-05,6,20.326530612244902,0.11813295959634018,2.4076386394687703,0.05321308546596898,0.7518847521602869,2.255654256480861,0.14107413654509132,2,3.636371754153104e-12,34.03703062056532
84,-11.429280380730054,1.087242945667162e-05,6,20.326530612244902,0.11813295959634018,2.4078265097421583,0.05271998125505616,0.7531920590140002,2.2595761770420006,0.1404638069755343,2,3.4225156997281187e-12,34.06612058925904
85,-11.459157868609974,1.0552393321937631e-05,6,20.326530612244902,0.11813295959634018,2.4080719203533336,0.052232136865819054,0.7544860343803247,2.263458103140974,0.13985641796578557,2,3.2213238971686105e-12,34.095170651744716
86,-11.489025731425757,1.024187621079623e-05,6,20.326530612244902,0.11813295959634018,2.4083736325306173,0.051749447606844266,0.7557669311610485,2.2673007934831455,0.1392519101066859,2,3.032022668961917e-12,34.124183861826296
87,-11.518886945964447,9.940562533750685e-06,6,20.326530612244902,0.11813295959634018,2.4087304762357897,0.05127179169938952,0.7570350486785281,2.2711051460355844,0.13865019987944263,2,2.8538883172473413e-12,34.15316321374902
88,-11.548744442684521,9.648149306800701e-06,6,20.326530612244902,0.11813295959634018,2.409141333538975,0.05079905870066921,0.7582906572328584,2.274871971698575,0.13805121513461643,2,2.6862436399391635e-12,34.18211164542992
89,-11.578601108587435,9.364345535616958e-06,6,20.326530612244902,0.11813295959634018,2.4096051384979167,0.050331142527200966,0.7595340165437987,2.278602049631396,0.13745488657873167,2,2.5284547121233154e-12,34.21103204153669
90,-11.608459789964087,9.088871635719297e-06,6,20.326530612244902,0.11813295959634018,2.4101208764641844,0.049867939365453716,0.760765381249864,2.2822961437495923,0.13686114523593895,2,2.379927910571686e-12,34.23992723642446
91,-11.638323295025186,8.82145888619922e-06,6,20.326530612244902,0.11813295959634018,2.410687580589001,0.0494093489640155,0.7619849974287105,2.2859549922861317,0.13626992418916545,2,2.2401071612411856e-12,34.26880001694045
92,-11.668194396423322,8.561848914724449e-06,6,20.326530612244902,0.11813295959634018,2.4113043271912105,0.04895527609354029,0.763193098664217,2.289579295992651,0.13568116059681995,2,2.108471391453154e-12,34.29765312510511
93,-11.698075833674368,8.309793211734315e-06,6,20.326530612244902,0.11813295959634018,2.411970242904803,0.04850562370053337,0.7643899242188253,2.293169772656476,0.13509478691219376,2,1.9845321700915178e-12,34.326489260677995
94,-11.727970315485013,8.065052671897342e-06,6,20.326530612244902,0.11813295959634018,2.412684487628078,0.048060303644836724,0.7655756904214758,2.2967270712644274,0.13451074492405413,2,1.867831520643733e-12,34.35531108361607
95,-11.757880521993183,7.827397161044567e-06,6,20.326530612244902,0.11813295959634018,2.4134462687559832,0.04761922553868999,0.7667506203329558,2.3002518609988676,0.1339289713122464,2,1.7579398932460956e-12,34.384121216431616
96,-11.787809106927098,7.596605106930404e-06,6,20.326530612244902,0.11813295959634018,2.4142548204052448,0.04718230822307791,0.7679149131472262,2.3037447394416786,0.13334941281581306,2,1.6544542831082965e-12,34.41292224645607
97,-11.817758699689094,7.372463112289023e-06,6,20.326530612244902,0.11813295959634018,2.415109427931289,0.04674946483855104,0.7690687839291037,2.307206351787311,0.13277200659369298,2,1.556996483784762e-12,34.44171672801672
98,-11.847731907369148,7.154765588772881e-06,6,20.326530612244902,0.11813295959634018,2.4160094022608036,0.04632061627159664,0.7702124277573845,2.3106372832721536,0.13219669808554058,2,1.465211464755115e-12,34.47050718453123
99,-11.877731316693387,6.943314410457519e-06,6,20.326530612244902,0.11813295959634018,2.416954089946203,0.045895684599877515,0.7713460371571899,2.31403811147157,0.131623432421738,2,1.3787658636727436e-12,34.49929611052606
100,-11.907759495912263,6.73791858569369e-06,6,20.326530612244902,0.11813295959634018,2.4179428698272165,0.04547459413125564,0.7724697993028453,2.317409397908536,0.1310521558679429,2,1.2973465844572118e-12,34.52808597358375
